"racegroup","duty_label","mean"
"Other","Supporting equality",66.4213396753362
"Other","Loving America",65.0905503671417
"Other","Making the most of your opportunities",47.7704722996083
"Other","Connecting across differences",54.848156373606
"Other","Being grateful for your opportunities",75.7878565597601
"Other","Honoring the flag",72.4269120895987
"Other","Welcoming refugees",20.694609334422
"Other","Paying your taxes",88.7985290826572
"Other","Being self-reliant",61.3207620971596
"Other","Reporting for jury duty",74.0790735617837
"Other","Staying informed of current events",60.677291650777
"Other","Doing community service",26.0898990083805
"Other","Respecting people's differences",87.7750311567512
"Other","Protecting the environment",82.4005130120972
"Other","Caring for future generations",68.9768259651012
"White","Voting",89.3785529932876
"White","Following the Constitution",94.0880743397279
"White","Being patriotic",62.7378909169162
"White","Working hard",50.6452770417154
"White","Making your voice heard",48.3291712666981
"White","Fighting for people’s rights",71.4593473112306
"White","Supporting your family",60.8879875798417
"White","Supporting democracy",80.610448518474
"White","Protesting unfairness",50.111474293211
"White","Donating to charity",31.456476112797
"White","Defending freedom",87.7396116078179
"White","Obeying the law",94.9225703107885
"White","Practicing freedom of speech",75.9221330946884
"White","Helping your community",71.1274034951014
"White","Joining the military",40.4433563097622
"White","Supporting equality",70.1201628722144
"White","Loving America",57.8526007549127
"White","Making the most of your opportunities",41.4776644386469
"White","Connecting across differences",47.4006624541944
"White","Being grateful for your opportunities",60.449534779771
"White","Honoring the flag",79.9699528745302
"White","Welcoming refugees",42.2602855864676
"White","Paying your taxes",91.453534608236
"White","Being self-reliant",49.8745533184875
"White","Reporting for jury duty",90.0217976804731
"White","Staying informed of current events",50.5803002844145
"White","Doing community service",52.8513429059083
"White","Respecting people's differences",67.4807016249194
"White","Protecting the environment",70.535805698525
"White","Caring for future generations",68.2887941168283
