"ideology","duty_label","mean"
"Not sure","Protesting unfairness",56.7479420402049
"Not sure","Donating to charity",42.2091331412537
"Not sure","Defending freedom",85.883674720001
"Not sure","Obeying the law",89.3486014163172
"Not sure","Practicing freedom of speech",81.3701115900816
"Not sure","Helping your community",72.9283929921113
"Not sure","Joining the military",36.4765635514713
"Not sure","Supporting equality",72.7282713378623
"Not sure","Loving America",58.9425260540002
"Not sure","Making the most of your opportunities",54.6223337740962
"Not sure","Connecting across differences",56.962873510301
"Not sure","Being grateful for your opportunities",64.1499672976033
"Not sure","Honoring the flag",76.7987506789545
"Not sure","Welcoming refugees",45.1284588694908
"Not sure","Paying your taxes",81.8737134101451
"Not sure","Being self-reliant",61.1857000956447
"Not sure","Reporting for jury duty",72.8948574707114
"Not sure","Staying informed of current events",51.5120173787314
"Not sure","Doing community service",56.4426787832494
"Not sure","Respecting people's differences",70.7690189128128
"Not sure","Protecting the environment",77.1007296812045
"Not sure","Caring for future generations",77.2698611326592
"Slightly conservative","Voting",88.4559102361509
"Slightly conservative","Following the Constitution",92.3753486397446
"Slightly conservative","Being patriotic",67.933844716086
"Slightly conservative","Working hard",58.8553851196231
"Slightly conservative","Making your voice heard",51.5235032250321
"Slightly conservative","Fighting for people’s rights",73.1024260501244
"Slightly conservative","Supporting your family",66.565208764256
"Slightly conservative","Supporting democracy",78.3304344707369
"Slightly conservative","Protesting unfairness",44.0178561729217
"Slightly conservative","Donating to charity",30.4117299516084
"Slightly conservative","Defending freedom",86.7387785103277
"Slightly conservative","Obeying the law",93.7990598587158
"Slightly conservative","Practicing freedom of speech",77.6714820155655
"Slightly conservative","Helping your community",67.5647329645648
"Slightly conservative","Joining the military",36.5099917543109
"Slightly conservative","Supporting equality",65.7441361134309
"Slightly conservative","Loving America",63.9333696332469
"Slightly conservative","Making the most of your opportunities",44.8226188012659
"Slightly conservative","Connecting across differences",46.0497913963627
"Slightly conservative","Being grateful for your opportunities",64.07139879526
"Slightly conservative","Honoring the flag",84.7027290451502
"Slightly conservative","Welcoming refugees",30.8844171157271
"Slightly conservative","Paying your taxes",90.2261015846628
"Slightly conservative","Being self-reliant",58.1894606482127
"Slightly conservative","Reporting for jury duty",85.6377559786529
"Slightly conservative","Staying informed of current events",53.8436900410557
"Slightly conservative","Doing community service",46.1353753456454
"Slightly conservative","Respecting people's differences",67.4679990457538
"Slightly conservative","Protecting the environment",69.6167080591691
"Slightly conservative","Caring for future generations",67.3321973689282
"Slightly liberal","Voting",80.5525677419093
"Slightly liberal","Following the Constitution",91.5756853844855
"Slightly liberal","Being patriotic",41.5829973650641
"Slightly liberal","Working hard",50.8349394788754
"Slightly liberal","Making your voice heard",55.6948595942454
"Slightly liberal","Fighting for people’s rights",76.7655241446341
"Slightly liberal","Supporting your family",59.179887993518
"Slightly liberal","Supporting democracy",75.9919549991255
"Slightly liberal","Protesting unfairness",60.0700855337837
"Slightly liberal","Donating to charity",28.5000886222164
"Slightly liberal","Defending freedom",81.3014016577854
"Slightly liberal","Obeying the law",91.6151356818359
"Slightly liberal","Practicing freedom of speech",75.0464561621116
"Slightly liberal","Helping your community",72.4998598846831
"Slightly liberal","Joining the military",30.6887850438355
"Slightly liberal","Supporting equality",77.3254006939555
"Slightly liberal","Loving America",37.7690592826107
"Slightly liberal","Making the most of your opportunities",42.582922863966
"Slightly liberal","Connecting across differences",46.6498142548187
"Slightly liberal","Being grateful for your opportunities",46.9442697007437
"Slightly liberal","Honoring the flag",61.9236613338064
"Slightly liberal","Welcoming refugees",50.3538376824019
"Slightly liberal","Paying your taxes",88.480196460567
"Slightly liberal","Being self-reliant",44.6753432137919
"Slightly liberal","Reporting for jury duty",85.1141525021374
"Slightly liberal","Staying informed of current events",46.4559963211202
"Slightly liberal","Doing community service",53.4180562035762
"Slightly liberal","Respecting people's differences",76.325702385482
"Slightly liberal","Protecting the environment",71.7839428033253
"Slightly liberal","Caring for future generations",68.5996269065054
"Very conservative","Voting",89.4321235760046
"Very conservative","Following the Constitution",92.0169383323802
"Very conservative","Being patriotic",78.4286276673115
"Very conservative","Working hard",65.4827606553041
"Very conservative","Making your voice heard",53.6895013056784
"Very conservative","Fighting for people’s rights",67.7247126344005
"Very conservative","Supporting your family",75.0544149716871
"Very conservative","Supporting democracy",74.2399795679611
"Very conservative","Protesting unfairness",44.6030116508003
"Very conservative","Donating to charity",37.1777451974976
"Very conservative","Defending freedom",90.7283577629857
"Very conservative","Obeying the law",93.7869428554496
"Very conservative","Practicing freedom of speech",80.8027479832532
"Very conservative","Helping your community",75.7677179225402
"Very conservative","Joining the military",51.346066500401
"Very conservative","Supporting equality",57.4801469496452
"Very conservative","Loving America",78.1835468451704
"Very conservative","Making the most of your opportunities",55.828054785433
"Very conservative","Connecting across differences",48.8188483821577
"Very conservative","Being grateful for your opportunities",76.1139750297323
"Very conservative","Honoring the flag",90.7413229202117
"Very conservative","Welcoming refugees",33.8271407732783
"Very conservative","Paying your taxes",86.6320069203146
"Very conservative","Being self-reliant",65.0231012245981
"Very conservative","Reporting for jury duty",88.8011360340342
"Very conservative","Staying informed of current events",56.818229600343
"Very conservative","Doing community service",56.3963276917835
"Very conservative","Respecting people's differences",63.580435246278
"Very conservative","Protecting the environment",67.1245313844175
"Very conservative","Caring for future generations",69.1951998238647
"Very liberal","Voting",92.2931836256184
"Very liberal","Following the Constitution",89.8769836812304
"Very liberal","Being patriotic",42.9071804146538
"Very liberal","Working hard",49.7502608598059
"Very liberal","Making your voice heard",67.9726920180658
"Very liberal","Fighting for people’s rights",82.9390098629662
"Very liberal","Supporting your family",58.9964382371558
"Very liberal","Supporting democracy",82.8214470799219
"Very liberal","Protesting unfairness",72.9521616981897
"Very liberal","Donating to charity",42.341119787796
"Very liberal","Defending freedom",80.7281716013914
"Very liberal","Obeying the law",89.8708250766338
"Very liberal","Practicing freedom of speech",83.4339991882636
"Very liberal","Helping your community",74.23064002816
"Very liberal","Joining the military",33.2431087826799
"Very liberal","Supporting equality",84.7820409754911
"Very liberal","Loving America",39.9030009099861
"Very liberal","Making the most of your opportunities",48.4949100867069
"Very liberal","Connecting across differences",58.7225401912989
"Very liberal","Being grateful for your opportunities",48.6264075249415
"Very liberal","Honoring the flag",59.8070882692248
"Very liberal","Welcoming refugees",68.6126712942792
"Very liberal","Paying your taxes",92.3779828470831
"Very liberal","Being self-reliant",46.4317557901706
"Very liberal","Reporting for jury duty",85.1572578478775
"Very liberal","Staying informed of current events",64.73325982741
"Very liberal","Doing community service",60.9600041081183
"Very liberal","Respecting people's differences",78.7742214463927
"Very liberal","Protecting the environment",79.069052091988
"Very liberal","Caring for future generations",76.8903121519697
