church,duty_label,mean
More than once a week,Caring for future generations,77.81180253
Never,Voting,84.80098259
Never,Following the Constitution,89.22702539
Never,Being patriotic,50.40042661
Never,Working hard,46.48744856
Never,Making your voice heard,50.65849255
Never,Fighting for people’s rights,72.56233127
Never,Supporting your family,59.77956401
Never,Supporting democracy,72.91018935
Never,Protesting unfairness,54.71376921
Never,Donating to charity,27.22375174
Never,Defending freedom,84.30020561
Never,Obeying the law,91.20188905
Never,Practicing freedom of speech,76.63321035
Never,Helping your community,65.13175474
Never,Joining the military,31.00022404
Never,Supporting equality,69.13769523
Never,Loving America,47.67034758
Never,Making the most of your opportunities,40.62570041
Never,Connecting across differences,47.76378433
Never,Being grateful for your opportunities,52.00765549
Never,Honoring the flag,68.89105223
Never,Welcoming refugees,45.33406543
Never,Paying your taxes,87.55363928
Never,Being self-reliant,46.00996945
Never,Reporting for jury duty,83.67767676
Never,Staying informed of current events,45.43097446
Never,Doing community service,46.23030928
Never,Respecting people's differences,68.5236367
Never,Protecting the environment,71.2713743
Never,Caring for future generations,65.8158028
Once a week,Voting,89.52165452
Once a week,Following the Constitution,91.34300297
Once a week,Being patriotic,67.32829074
Once a week,Working hard,58.7080078
Once a week,Making your voice heard,56.97992037
Once a week,Fighting for people’s rights,74.36871239
Once a week,Supporting your family,65.72754796
Once a week,Supporting democracy,80.05862225
Once a week,Protesting unfairness,53.42436446
Once a week,Donating to charity,46.01147374
Once a week,Defending freedom,87.09131418
Once a week,Obeying the law,92.69094592
Once a week,Practicing freedom of speech,75.63738498
Once a week,Helping your community,76.1044498
Once a week,Joining the military,46.70007767
Once a week,Supporting equality,71.11716344
Once a week,Loving America,65.528566
Once a week,Making the most of your opportunities,49.11854487
Once a week,Connecting across differences,53.06385166
Once a week,Being grateful for your opportunities,66.60800074
Once a week,Honoring the flag,83.19653944
Once a week,Welcoming refugees,46.62823255
Once a week,Paying your taxes,89.72224442
Once a week,Being self-reliant,54.856439
Once a week,Reporting for jury duty,86.60849354
Once a week,Staying informed of current events,56.31132652
Once a week,Doing community service,62.9136972
Once a week,Respecting people's differences,71.22003463
Once a week,Protecting the environment,69.35484394
Once a week,Caring for future generations,71.30073725
Once or twice a month,Voting,86.37090224
Once or twice a month,Following the Constitution,92.0073379
Once or twice a month,Being patriotic,63.41125143
Once or twice a month,Working hard,58.78591321
Once or twice a month,Making your voice heard,59.58787568
Once or twice a month,Fighting for people’s rights,75.66384108
Once or twice a month,Supporting your family,67.97305067
Once or twice a month,Supporting democracy,81.03059578
Once or twice a month,Protesting unfairness,54.34249606
Once or twice a month,Donating to charity,35.46673553
Once or twice a month,Defending freedom,87.58509708
Once or twice a month,Obeying the law,93.47796152
Once or twice a month,Practicing freedom of speech,78.25910521
Once or twice a month,Helping your community,77.74742167
Once or twice a month,Joining the military,44.44013758
Once or twice a month,Supporting equality,72.95606336
Once or twice a month,Loving America,63.15038803
Once or twice a month,Making the most of your opportunities,45.50356003
Once or twice a month,Connecting across differences,48.40122084
Once or twice a month,Being grateful for your opportunities,65.12390495
Once or twice a month,Honoring the flag,82.18421953
Once or twice a month,Welcoming refugees,42.65588955
Once or twice a month,Paying your taxes,90.00253748
Once or twice a month,Being self-reliant,49.72690133
Once or twice a month,Reporting for jury duty,85.53983438
Once or twice a month,Staying informed of current events,52.92341487
Once or twice a month,Doing community service,60.73223328
Once or twice a month,Respecting people's differences,70.72521852
Once or twice a month,Protecting the environment,76.0766572
Once or twice a month,Caring for future generations,68.84499412
Seldom,Voting,87.22862387
Seldom,Following the Constitution,92.34842739
Seldom,Being patriotic,60.95560308
Seldom,Working hard,50.75626596
Seldom,Making your voice heard,52.97921377
Seldom,Fighting for people’s rights,73.52710201
Seldom,Supporting your family,61.76725461
Seldom,Supporting democracy,78.90859316
Seldom,Protesting unfairness,54.56397066
Seldom,Donating to charity,30.96747908
Seldom,Defending freedom,86.71476756
Seldom,Obeying the law,94.64120731
Seldom,Practicing freedom of speech,76.53749571
Seldom,Helping your community,70.96336106
Seldom,Joining the military,35.52097619
Seldom,Supporting equality,73.54505509
Seldom,Loving America,55.15672119
Seldom,Making the most of your opportunities,44.57892885
Seldom,Connecting across differences,51.16215348
Seldom,Being grateful for your opportunities,60.40446988
Seldom,Honoring the flag,77.62706653
Seldom,Welcoming refugees,43.28288004
Seldom,Paying your taxes,90.30958659
Seldom,Being self-reliant,50.48512887
Seldom,Reporting for jury duty,87.75673196
Seldom,Staying informed of current events,51.89253446
Seldom,Doing community service,51.27518994
Seldom,Respecting people's differences,69.80278406
Seldom,Protecting the environment,73.48473318
Seldom,Caring for future generations,71.63984404
